x,y,z,label,text_snippet
-9.128057,1.3201959,0.46771052,anger,i want to exhibit all new pieces which is kinda ma...
1.6751809,6.7602506,-2.5333467,fear,i know that feeling myself the strange sense of se...
15.397608,-5.5226154,2.4788768,joy,i feel exceptionally lucky to visit suzanna whose ...
-8.459565,-1.4775655,2.9072714,fear,i have been feeling is any indication on this chil...
3.2429554,5.13987,-0.807047,joy,i feel the need to turn to my beloved nations...
7.806731,8.279697,-0.6744849,joy,i also feel that seeing how the body reacts is an ...
1.0401472,3.6496408,2.8877218,sadness,i starred into susan s gaping cum filled ring i co...
3.1709514,2.9739335,-1.706987,joy,i arrived home hot sweaty and feeling a keen need ...
-11.191372,-2.0232549,-4.707305,sadness,i feel lonely i remember my moms saying...
-6.4680095,-2.4700553,-0.38169703,sadness,i still cant make it for longer than a half hour i...
-7.726023,-2.0438614,-4.483023,fear,i sit here tonight i feel anxious...
2.5362027,2.3176801,-0.4282757,love,i feel like i am abandoning him in a way but he is...
16.101625,-2.9839783,1.4885429,love,i do my best at making sure my husband feels loved...
8.686032,8.168873,0.9460241,joy,i also wouldnt mind a canon d mark iii if anyone i...
-8.820503,-0.5190887,-2.685017,anger,i was feeling annoyed suddenly...
-7.31795,-1.408175,1.3660347,sadness,ive never owned a mac have always used microsoft a...
-10.281797,-1.3256805,2.4931092,sadness,i feel guilty to my family my friends who made the...
16.615818,-6.3745522,1.7672105,love,i have been blogging i have told you of the countl...
15.232808,-3.0695508,0.3467916,fear,i love the way he talks sometimes i feel shy when ...
10.390385,-3.285205,1.7167993,anger,i feel like im gonna be so greedy with him cuz i j...
10.898903,7.1788597,-2.6511397,joy,i feel ok and go out into the world to work buy fo...
15.0577345,0.58374774,1.0119147,joy,i am feeling like a generous and kind krem ill eve...
10.337335,4.432163,-1.7624638,anger,i like moving with a long lead time and not feelin...
-6.5871544,1.3350327,1.3739157,fear,i feel like i cant afford to be afraid to show tha...
10.813286,1.7618606,-1.0543408,joy,i want to feel like i m important...
-8.245922,0.65877485,4.4716825,anger,i am sure the vast majority of decent working clas...
-9.514833,-3.9535844,0.12594968,anger,im feeling very petty right now...
-10.370753,-1.699035,0.652398,sadness,i would feel boring rejected or just downright unl...
-10.3625345,-1.6598842,3.944223,anger,i hate that feeling cus thats really bitchy to wan...
-10.17315,-1.7330693,1.002676,anger,i only feel irritated by it...
8.676161,4.338509,0.22682412,joy,i i feel as though we were more successful here...
-11.5315,-4.070478,-1.6596956,sadness,i feel as defeated as i did today i wonder if im d...
7.285489,4.873941,0.67176837,joy,ive slowed down i take time to listen to my child ...
-9.377306,0.85685027,4.170298,anger,i was using it to vent out ugly feelings and be vi...
-5.844477,0.35725468,-0.78925467,fear,i feel crazily indecisive impulsive just in a...
-4.320594,2.8664246,-0.6844346,sadness,im already beholding myself not to be indulged int...
-10.807929,-3.0860636,1.6768155,joy,i feel less valued cause i dont look good...
11.772983,3.0540564,0.46140867,joy,i think he is what really made us decide to stay w...
-3.708808,-0.37707508,3.5465147,anger,im so full of life i feel appalled...
-4.7241583,3.3543847,-2.2374542,anger,i feel like being distracted...
-6.971697,1.352595,2.459089,anger,i point these things out so as to make clear that ...
-7.094592,-2.8226664,-1.4761051,sadness,i feel lousy about how much i have to study...
-11.071729,-3.626761,4.236323,sadness,i feel so dirty so unamerican so french...
-8.087261,1.1816167,1.260278,love,im feeling less generous i call her psychotic...
11.076214,0.9926206,0.69184285,joy,i want to feel valued i do and appreciated i do an...
3.1811526,9.401216,-3.3187451,fear,i feel a remembrance of the strange by justin aryi...
-8.336561,-3.5601912,-0.18446192,anger,im typing all of these im blowing my nose and feel...
-9.097671,-4.311228,-1.1914146,sadness,i do have good days and bad days but the bad days ...
15.720167,-7.3287435,-0.35994032,joy,i feel super good...
14.667,-3.646098,-1.377939,joy,ive felt even more centered here and pleased w how...
-8.839849,-3.994619,-4.541355,sadness,i feel sad and discouraged...
-6.5763783,-0.7028049,3.2473278,sadness,i feel neglectful and while at her reception i gra...
-1.3450024,5.0546746,-2.9876096,joy,i can feel it weighing on me filling my thoughts a...
11.063445,6.985685,0.7867789,love,i feel like its about supporting something that yo...
-9.851729,-0.64577687,3.4801905,fear,when i was attacked by a teenage boy and had my wa...
7.379572,0.919806,-2.2111475,joy,ill be glad when shes all better cuz keeping ollie...
-5.5038157,4.669286,0.38190377,fear,i had it in my head as it relates to the workplace...
17.43879,-5.749287,0.7290562,love,i feel very blessed to have a new team of doctors ...
16.3238,-1.7142493,-1.464095,joy,i feel very relaxed playing with carl clarke says...
-9.703456,-2.2985325,-2.2152643,anger,i found myself feeling so angry...
-0.14356552,5.62633,2.0384212,surprise,i can feel that the two girls are shocked with wha...
7.5224338,2.0162556,-1.8235552,joy,i started university at the age of and although it...
-9.865713,-0.2627018,5.191135,anger,a group of youngsters dressed in fads talked foul ...
-0.81021845,4.3932734,2.292627,joy,i had a feeling going into this book that its a li...
-0.640565,5.7733846,-2.0437567,fear,i didn t feel like getting shaken down by the tsa ...
14.907425,-1.9688663,2.3107166,joy,i care about someones emotional spiritual and inte...
9.546833,7.017487,-1.7559195,sadness,i am feeling emotional about something or other po...
-3.489972,-0.03272727,-3.6376984,love,i thought that was the end of it but a few minutes...
-7.0636625,0.33647627,-5.298678,fear,i feel unsure of my footing...
-2.2219212,0.02188695,-0.19873232,fear,i am feeling exceptionally reluctant to go to scho...
-9.366108,0.55762637,2.027024,love,i feel like this leads me to be not as gentle and ...
11.80072,7.531598,0.2193072,joy,i am going to be a little selective about who i le...
-6.6262116,1.7528279,2.0329835,surprise,i remember feeling surprised and stunned that a wr...
12.57448,-6.6441402,-0.57211715,joy,i feel a sense of relief and also sadness because ...
-10.074035,0.8375116,2.6846237,joy,i feel as if her call was not a sincere apology...
-5.530156,5.165678,4.3601537,joy,i have been labeled the accuser and for this reaso...
1.9275117,2.485705,-0.24624081,sadness,i have also learned it takes a lot of effort and p...
-2.7498674,2.3272736,0.2202616,fear,i feel so vulnerable and yet so protective over he...
-5.8310146,-0.6621826,2.6512542,joy,i kinda feel like i dont ever want to write again ...
-4.298234,7.7520466,2.278561,fear,i don t want anyone to feel inhibited if their bod...
15.715561,-2.3707366,-0.6122171,joy,i was feeling as if i am in the lap of the divine ...
-5.8456445,1.4218255,-0.031268902,fear,i slow a bit to stay with him partly because i am ...
1.093992,-1.1202819,-3.0912652,sadness,i definetly need both as i have been feeling quite...
11.778987,2.1202776,2.142388,love,im starting to feel like you my faithful reader ar...
9.210396,3.6410842,-0.14117879,love,i want to feel affectionate...
-6.287696,2.1514525,-0.49309024,joy,i feel like i dont have anything worthwhile to blo...
15.370119,-4.6321454,0.4534815,joy,i feel lucky that they found it and i feel lucky t...
-7.7758613,1.79697,-1.9697812,fear,i feel nervous about trying something new during a...
-9.186226,0.7735361,3.1307125,anger,i have seen you fall asleep climbing back into bed...
13.630911,-2.0275848,-0.81257516,joy,i feel so thankful to be in a part of the country ...
-11.127884,-5.1026106,3.1947455,anger,i cant abide the political mess the country is in ...
14.564848,-4.4022927,1.5603095,joy,i feel fantastic at a weight higher than than that...
-6.504929,-3.115157,-2.9578464,sadness,i feel completely listless...
2.4349093,3.171293,-2.3443615,joy,i feel content if not happy...
-6.62731,-2.806286,-0.659534,anger,i feel more irritable and i feel more sensible now...
12.844352,-2.7128901,-1.3176428,joy,i feel a craving i get excited and sometimes it fe...
9.204003,3.4383276,1.9956154,surprise,i read through the ol feefyefo space i feel amazed...
11.353132,3.3437982,0.61613595,joy,i feel like she needs more but shes content so i g...
16.502455,-8.610251,1.4347593,love,i feel really bless to have a very supportive fami...
-9.614748,-4.595982,1.3876277,sadness,i feel like a guilty sack of shit...
13.483075,2.4387033,-0.26866448,joy,i still feel innocent and small...
-0.33654284,2.2040806,-4.14004,sadness,i was feeling lethargic hahaha...
-8.139289,-0.35150942,3.4842265,fear,i bet taylor swift basks in the knowledge that the...
9.784052,3.1305358,-1.8190616,sadness,i feel inside of me that it was not in vain...
-3.7865567,-2.7295167,-0.90090305,surprise,i missed about a month combined of classes and was...
1.8648754,2.7070622,0.49858797,sadness,i saw the pair of them walk out of the gates i cou...
-4.2716293,-0.54963565,-1.2367048,fear,i crave getting out there and moving and if i dont...
-9.697096,-0.22234313,3.4725876,love,i feel for them supporting a team that has traded ...
12.83449,1.8351802,0.68917674,joy,i get to that point i often feel i have nothing to...
-11.117795,-4.5784144,0.8881034,anger,i feel bitchy today its as if today i realized tha...
11.884043,2.6473563,-0.7639328,sadness,i don t feel rejected or abandoned which speaks vo...
10.983147,2.219614,0.5686078,joy,i was feeling pretty smug because denise at justqu...
1.5965143,9.85977,-0.65672326,fear,i went on to the holiday party that evening courte...
-3.2239192,3.0007703,-2.3703558,surprise,i were saying that we were feeling overwhelmed wit...
-9.545127,-2.6347866,-0.68464047,fear,i can feel myself getting agitated at all the cons...
2.9962273,2.5795147,-2.5089421,joy,i did sleep last night however but woke up at am f...
-7.905725,-1.8965136,-4.6769958,sadness,im feeling dull and bored...
-10.050197,1.3548707,3.0656683,sadness,i feel dumb for asking ryan said but ben cut him o...
-6.546668,3.0181231,1.7158839,joy,im supposed to stay in the lively room but as an e...
-8.898511,-2.1238723,-0.239073,sadness,ive struggled with feeling inadequate or subpar in...
9.291745,4.426095,-4.429913,sadness,i go to sleep as soon as my head hits the pillow i...
-5.647345,5.3355875,-3.001663,fear,staying in a relatives house which was broken in b...
-1.9064562,2.3532975,0.66127044,surprise,i feel surprised because i didnt expect it...
0.027704084,4.966577,3.0457814,sadness,i feel civilly disturbed class delicious title sha...
-8.337631,-0.7536032,0.07515434,sadness,i was always looking forward to to a life that jus...
9.345586,-0.80923504,-4.609779,joy,i guess the good news is i feel calm now i think i...
14.488544,-3.2245,1.5321653,joy,i have become a mother and my body has changed so ...
-10.199094,-2.8557518,0.95298594,sadness,i feel the sting of the words as a dull ache and h...
16.066275,-4.9782553,-1.5914863,joy,i am slowly paying off my debts and i feel general...
13.124124,0.3959334,-4.3573856,joy,i was feeling pretty well in mid october...
-9.983572,-4.5014744,2.157058,anger,i feel almost angry that i have been fed like a la...
-10.418902,-2.1837234,2.5627882,sadness,i knew i was going to look at the mess and feel gu...
17.115614,-6.4980927,0.19715522,love,i feel that was one of those episodes where everyt...
-7.539724,-1.3385127,1.5898207,joy,i go to the gym i can t even get my heart rate hig...
-3.5188344,3.1235163,-1.1915845,sadness,im an introvert by which i mean i get re energized...
15.448572,0.4149165,0.42406392,love,i feel like i must defend my beloved blue hehe...
-1.0851227,6.661306,0.9300595,sadness,i understand and appreciate the concern for safety...
-8.585523,-2.1638443,-2.7565737,joy,i feel complacent in my life...
17.77445,-5.792973,1.5111734,joy,im thankful for music that makes me laugh music th...
-10.845378,-1.4224542,3.728377,anger,i wonder how they would feel if someone was scream...
-7.918939,1.7253622,1.8235521,love,i think about the woman in the congregation who cr...
-4.569169,4.4181066,2.8310862,anger,i think this is a valid complaint for those who ar...
11.472248,-5.4469504,-0.94117004,joy,i cant hide my feeling when i feel so glad...
-6.459363,0.5867981,-3.2321494,sadness,i started off the week feeling groggy and unwell p...
-4.3221126,-1.2540088,-1.9142073,joy,im not feeling well lets just enjoy some pictures ...
10.839322,2.4312165,-1.7931391,fear,i am feeling unsure about my words but it also mea...
16.35567,-4.174336,2.0093057,love,i feel that i have tons of love to give and i woul...
-10.066714,-5.444473,4.5366096,anger,i feel profoundly insulted by this anime how dumb ...
6.6066527,1.3936968,3.4968414,joy,i feel more than ever that the computers i pour co...
14.695069,2.117229,0.34937838,love,i prefer to sit in the large room at the back with...
-9.853965,-2.8530564,4.002017,sadness,i feel ashamed that i so readily turn it aside...
-8.0025,-3.1724563,-3.1038826,anger,i feel twitchy and physically agitated...
-8.797143,-1.3035375,-3.5751333,fear,ive been feeling very intimidated and overwhelmed ...
-6.0159407,-1.936902,-0.21592632,joy,i hate the moment when i completely feel perfect w...
-10.230128,-5.69792,0.79713184,joy,i feel like garbage i cant think about being thank...
-10.140549,-3.5742419,-0.16471188,sadness,i am tired of feeling useless tired of feeling uni...
17.008783,-5.7974854,0.4217838,sadness,im looking forward to seeing familiar faces again ...
13.156129,2.2010505,2.2037036,joy,i can feel it clever of them and...
-6.9322295,1.4515864,0.17377812,sadness,i am used to being let down and feeling rejected b...
-10.111199,-2.856581,-0.7504185,sadness,i honestly feel kind of embarrassed and a bit guil...
17.553833,-6.819954,1.1741322,joy,i first entered the clinic i feel very welcomed by...
15.736432,-1.985701,0.33846766,joy,i bring this up is because i feel very satisfied w...
10.941363,0.119017944,-2.5455635,joy,i suspect i was also dealing with caffeine withdra...
6.4243503,0.48571655,1.7095474,joy,i feel like my life is very rich and fulfilling bu...
-7.914009,-1.8582666,-0.8749417,joy,i can feel my artistic side melting away into noth...
-11.5924225,-5.33399,-1.5480227,fear,i feel like im sinking and i feel helpless and tha...
-10.240147,-3.850728,0.116638035,sadness,i am feeling really lousy i take out the diy thera...
-8.132408,0.38807845,-2.0837877,joy,i begin to feel complacent with my life here...
-6.1679926,-0.17363654,1.1443044,fear,i read new risen throne once said cold amp desolat...
-8.838356,1.3972123,3.2517676,fear,i feel like a paranoid annoyance when in reality s...
-2.0996974,6.6868796,1.0157014,fear,i feel that uncertain should be a better communica...
16.539707,-8.373752,2.7557318,joy,im so excited for you to try my mineral makeup sta...
-9.104955,-1.101036,2.2917562,sadness,i dont like poetry too much because i feel its for...
-7.353336,2.844574,2.4969847,sadness,i kind of wish i had come up with those thoughts m...
16.403475,-0.61257154,-1.0653288,love,i can feel something inside me something delicate ...
-6.4497385,-2.1263537,-4.056274,sadness,i feel very listless...
-10.033094,-0.021263273,-1.6729424,sadness,i found myself feeling fairly ignored sort of take...
-8.516237,1.4198173,-1.6354587,fear,i feel shy of sharing too much about it right now ...
-9.270132,1.5924482,3.1449537,anger,i got an overall dark and uncomfortable feeling as...
-5.8854556,3.9326832,2.6429367,sadness,i respect his feelings and its unfortunate i cant ...
-10.070402,-1.2989869,1.1071228,fear,i feel like the helpless duckie target for the com...
-5.7159643,7.2047615,-0.83932847,fear,i wonder if they feel like reluctant leaders...
-10.148607,-0.82762384,0.90461695,anger,i feel guilt that i was cranky last night and didn...
-10.901804,-4.1455894,3.7695534,fear,i am angry that my employers do not invest in us a...
-8.205731,-1.299954,-1.5128038,sadness,ive been meeting up many people since this semeste...
15.20527,-6.520174,0.55008215,joy,i feel so incredibly blessed especially during the...
-3.917069,0.5987605,2.1427696,love,i feel that sweet potatoes are very under rated...
-5.411868,5.3311043,-0.515522,sadness,i try to hang out with the both of them then i fee...
-8.811593,-2.258533,1.3523263,anger,i would hate to be bit imagine if the secretary is...
14.437317,-2.5692246,-2.6596553,joy,im feeling more outgoing and happy since being off...
13.433448,0.5770769,-0.5745452,joy,im off to relax while feeling my sweet extremely a...
-7.2772756,1.456604,-4.9895644,sadness,i feel more jaded...
8.9809885,-0.1202957,-0.66763353,joy,i stop feeling ok and started to feel pretty aweso...
-10.423958,-2.7935708,2.4692538,sadness,i feel ashamed when i log out and leave these prob...
13.578382,-4.6971793,-0.21231902,joy,i once knew a quaker who announced quite excitedly...
-10.177223,-0.869083,-0.5089525,anger,i began to feel bitter towards them...
-9.002269,-0.42583665,0.2055326,anger,i can feel she still angry with me...
7.523462,6.4766397,-2.1084542,sadness,i was able to identify the speed in which f could ...
-8.644977,1.462932,2.9240532,fear,i feel for the genuinely shy and cautious women at...
11.4307995,3.7498064,2.9349365,joy,i feel that the most talented of illustrators desi...
15.739634,-4.1296005,1.071655,joy,i feel quietly ecstatic over the painless change i...
-7.868223,-0.70155716,3.3896532,sadness,i feel like they just feel guilty for treating me ...
-9.759488,-1.5989168,1.4786245,sadness,i feel like a divorcee we were together so long an...
13.683033,-2.5801306,-3.9728405,joy,im feeling more energetic less tired and im down t...
6.644427,2.653847,-0.007489659,anger,i feel an angel steal me from the greedy jaws of d...
-9.543933,0.5788599,3.6103237,fear,i feel suspicious of innanimate objects and as tho...
-9.04651,-3.0637753,-3.0258093,sadness,i am still feeling pretty lousy from this allergy ...
-4.131179,4.5329075,-0.35880727,sadness,i admit to feeling a little foolish when i first a...
-4.712369,2.4646912,-3.55834,fear,i remember feeling paranoid...
10.272365,0.08477166,-1.4586576,fear,i am so thankful that though things are a bit over...
-7.7968645,-0.088514574,-2.2047443,fear,i think about talking to a lawyer and finishing th...
4.036089,7.8884907,0.7200717,fear,i feel i wear what i wear to show other girls at m...
14.181201,0.24099134,-2.1650238,love,ive been feeling a bit nostalgic ever since i went...
16.432598,-7.9015164,1.2197472,joy,i feel like this is going to be a terrific summer...
17.07133,-6.340155,0.4905371,joy,i am still spinning from all the activities but al...
-9.963497,-0.9090792,2.2117045,anger,im back to my un emo mood re reading that post mak...
-9.424121,-4.3765273,-0.4246607,sadness,i should be dead since ive been out of this for a ...
13.706747,2.5483675,-0.738706,love,im feeling craving theres always a tender morsel o...
15.86193,-1.7743024,0.4404358,joy,i feel like i m going to be living a rich and sust...
8.676856,4.6721425,1.994163,love,i could genuinely feel loving toward someone witho...
2.931554,2.2381284,0.22956008,joy,i feel like this little innocent helpless person n...
16.50434,-9.323104,1.0525283,joy,i have a feeling this week is just going to be spl...
0.3802695,2.6542392,1.8950149,love,i wont be totally satisfied until i feel like me a...
-6.8119135,1.7552722,0.7358897,joy,i find daunting my feelings soon change to that of...
9.07506,4.380984,-0.8026317,joy,i have that feeling but idol anime is pretty popul...
5.6142244,-3.9729679,1.5608953,sadness,i love my family and i have such a wonderful life ...
-8.654371,-3.8288562,-5.00053,sadness,i am feeling really sad...
-8.104484,-0.6564433,-5.4071918,surprise,im feeling really weird...
15.410435,-1.6938556,1.9829419,joy,i think it makes me feel like the heir to an incre...
5.2858157,2.649814,-3.058515,anger,i generally don t eat a lot of junk it is mostly s...
-0.03953259,8.154331,-0.46560475,joy,ive turned it on a bit but its feeling very casual...
13.397614,-0.72725374,0.3158514,love,i have this insatiable desire to plant and clean a...
-8.434774,3.102804,2.1902072,fear,i think that they pop up so automatically because ...
-9.176801,2.4441018,0.87835544,sadness,ive left feeling indirectly manhandled or abused...
5.861234,-0.60961115,0.8337473,sadness,i feel about him too i ve never hated to love some...
-9.539195,-0.8143715,4.3169727,joy,i think people are merely lacking of professionali...
-9.658075,0.3140781,4.5667715,anger,i feel like my chanting voice would just reverbera...
11.014864,7.070509,0.11533371,love,i was feeling amorous...
-4.644123,1.2919428,3.1938765,fear,i feel like someone s strange uncle trying to brea...
10.319672,5.593433,0.6469198,joy,i gained admission immediately after college so i ...
16.268892,-3.2105238,-0.080513276,joy,i feel like i ve welcomed freedom into my life ove...
-5.0243163,3.9748406,2.4676561,fear,fear of thief...
-10.48406,-4.3198442,0.08649029,anger,i feel like i ve fucked up massively for not being...
-8.767766,-1.3895047,-1.0123876,anger,i feel like i shouldnt have even bothered...
14.4689665,-2.0153108,1.5632213,joy,i was involved in zenos story i only casually ment...
1.7472268,2.562714,2.7747042,joy,i guess i m a sucker for the grand and endless bat...
-1.3930259,6.7101502,1.0315465,sadness,i possibly understand what she was feeling i ignor...
-2.4138515,1.8238978,-0.30971804,sadness,i would have never understood or valued the meanin...
2.6070158,2.6749923,3.5112295,joy,i feel very strongly passionate about when some je...
12.428452,-2.07263,-1.590878,joy,i have been feeling strong and optimistic and then...
-5.693033,2.650537,0.036408488,sadness,i feel resigned to my lot in life being that i wat...
-9.506604,0.2168385,-0.07923936,joy,i have a feeling my mom wont be so keen on that id...
8.763476,3.7054296,3.0224793,love,i love female vocalists though admit to feeling sl...
-8.11515,-3.3655143,-4.7133346,anger,im feeling stressed overworked and running on fume...
-10.245667,-3.1208093,5.2747607,anger,i feel like a petty murder shoudlnt be punished ne...
3.073412,6.5230427,1.0127125,fear,i feel you getting frantic close and just before y...
-3.9276671,-3.4720793,0.78496665,love,i feel so horny just thinking about this...
-9.131307,-2.8375542,4.4718924,sadness,ive never been the mother of a teenage girl before...
-9.782425,-2.060121,-1.324633,anger,i was over tired and feeling irritable as a result...
7.869436,5.5004354,1.481654,joy,im not saying they cant accept me the way i am its...
12.520605,0.93945175,0.27016672,joy,i always felt like i could do anything but now i f...
-6.0612926,4.060135,3.4096506,surprise,i don t think anyone feels curious about masala mo...
-3.4405546,4.9561963,1.3072639,joy,i try to pick a song title or lyric that semi fits...
-0.6932941,6.1934595,-1.4800632,love,i guess this is exactly what being feels like long...
3.6174176,8.957203,0.9870962,joy,ill tell you what its about as soon as im sure the...
-9.464992,-0.68615276,2.552335,sadness,i feel like i do a crappy job at giving back from ...
11.746998,0.8514161,-0.54134846,joy,i feel so comfortable and happy with without havin...
14.49229,-4.872409,-1.6183677,joy,i woke up on saturday feeling so glad it was satur...
17.301651,-4.256711,0.34814787,joy,i feel thrilled with your presence in your eyes i ...
17.244692,-4.1040535,1.5384351,joy,i continue to feel inspired by the strong runner s...
-8.407026,2.1592958,3.8410923,anger,when it became clear that a man had used many peop...
-8.909741,-3.3813457,-0.15838812,anger,i feel irritable and unfulfilled if i dont paint f...
-0.8930954,3.3776748,-3.5519898,anger,i will probably just be lazy and lounge around the...
-11.648631,-3.6628423,1.7922194,sadness,i am struck down by the disease i feel as if i am ...
9.818093,1.3421276,-0.18445073,joy,ive lost lbs between january of this year and now ...
-8.944802,-2.6951225,-1.6382774,joy,im not feeling fantastic is that i havent actually...
-5.996893,5.044172,-0.59597147,sadness,i have paused on purpose that i must step back and...
12.942338,2.0329437,1.6749226,joy,i even feel her hair looks superior here...
11.783441,0.28487024,0.6737569,fear,i am very fascinated by it and don t feel so uptig...
-4.7895865,0.44448003,1.3372517,joy,i find it hard to feel jolly when throngs of peopl...
16.706694,-0.9188177,0.18148562,joy,i feel ive got my foot in the door of the fantasti...
-10.295651,-2.032966,3.0428734,anger,i go to the church service not youth i feel like i...
14.243871,-0.37356538,-2.4026632,joy,i worked very hard on holding my technique when i ...
-6.624207,1.9640734,-1.4221685,fear,i go snowboarding feeling very apprehensive...
4.7573867,8.444507,0.40536356,fear,i rarely feel hesitant to say something sometimes ...
-8.816266,-0.029171806,3.6471758,joy,i feel like this is another one of those dresses t...
-9.4660425,-3.8990915,-3.0615659,sadness,i feel like a blank canvas i have no clue what i a...
-8.737713,-4.8932242,-1.8079929,fear,i am feeling incredibly agitated today...
-9.769598,-3.708393,1.049182,anger,i feel like i m on the receiving end of a violent ...
17.195396,-7.0150666,0.5890005,joy,i feel very successful in both my family and work ...
-9.179199,0.6926079,2.0145621,sadness,i feel sorry for the poor guy who were told to lea...
15.19176,-2.7238336,-2.0731177,joy,i feel peaceful secure and independent...
-9.72503,-0.7358376,0.9962435,sadness,i know many people still feel betrayed by neil odo...
-8.855706,0.4390545,3.240172,joy,i dont really connect with the main character or a...
-5.420811,3.4072943,-1.2324511,anger,i feel bothered...
